"","X.","Age","Sex","Job","Housing","Saving.accounts","Checking.account","Credit.amount","Duration","Purpose","Credit.Risks"
"189",188,20,"male",2,"own","moderate","little",674,12,"radio/TV",2
"190",189,33,"female",2,"own","little","moderate",3244,18,"furniture/equipment",1
"192",191,34,"male",1,"free","moderate","moderate",3844,48,"business",2
"193",192,36,"male",2,"own","little","moderate",3915,27,"business",2
"195",194,21,"male",2,"rent","moderate","moderate",3031,45,"radio/TV",2
"196",195,34,"female",3,"own","little","moderate",1501,9,"education",2
"198",197,27,"female",2,"rent","moderate","moderate",951,12,"furniture/equipment",2
"200",199,40,"male",3,"own","little","moderate",4297,18,"furniture/equipment",2
"202",201,27,"male",1,"own","little","little",1168,12,"car",1
"204",203,21,"male",2,"rent","little","little",902,12,"education",2
"206",205,38,"male",3,"free","little","little",10623,30,"car",1
"208",207,26,"male",2,"own","little","moderate",1424,12,"domestic appliances",1
"209",208,21,"male",1,"own","little","little",6568,24,"business",1
"213",212,50,"male",2,"own","little","little",5293,27,"business",2
"214",213,66,"male",3,"own","little","rich",1908,30,"business",2
"217",216,31,"male",2,"own","little","little",3104,18,"business",1
"218",217,23,"male",2,"own","little","rich",3913,36,"radio/TV",1
"219",218,24,"male",1,"rent","little","little",3021,24,"furniture/equipment",1
"221",220,26,"male",1,"own","little","moderate",625,12,"radio/TV",1
"227",226,27,"male",2,"own","rich","moderate",10961,48,"radio/TV",2
"228",227,53,"male",3,"free","little","little",7865,12,"furniture/equipment",2
"230",229,22,"male",2,"free","little","little",3149,24,"furniture/equipment",1
"231",230,26,"male",2,"own","little","rich",4210,36,"radio/TV",2
"234",233,25,"male",1,"own","little","moderate",866,18,"radio/TV",1
"236",235,30,"male",3,"own","little","little",1823,24,"radio/TV",2
"238",237,61,"male",1,"rent","moderate","moderate",2767,21,"business",2
"240",239,39,"male",2,"own","little","little",2522,30,"radio/TV",1
"243",242,24,"male",2,"free","little","little",4605,48,"car",2
"249",248,26,"male",2,"own","little","rich",1925,24,"furniture/equipment",1
"251",250,39,"female",1,"own","rich","little",666,6,"car",1
"252",251,46,"female",1,"own","little","rich",2251,12,"furniture/equipment",1
"253",252,24,"female",2,"own","little","moderate",2150,30,"car",2
"258",257,29,"male",2,"free","little","little",2149,12,"radio/TV",2
"261",260,27,"male",2,"own","little","little",1657,12,"furniture/equipment",1
"262",261,55,"female",2,"own","little","little",1603,24,"radio/TV",1
"263",262,36,"male",3,"free","little","little",5302,18,"car",1
"266",265,37,"male",2,"own","little","moderate",802,15,"radio/TV",2
"269",268,45,"male",3,"own","little","little",8978,14,"car",2
"274",273,28,"male",2,"own","little","moderate",3060,48,"radio/TV",2
"275",274,34,"male",1,"own","little","little",11998,30,"repairs",2
"285",284,37,"male",2,"own","moderate","moderate",3878,24,"car",1
"286",285,35,"female",1,"own","little","little",10722,47,"car",1
"287",286,26,"male",2,"own","little","little",4788,48,"car",1
"288",287,31,"male",3,"free","moderate","moderate",7582,48,"vacation/others",1
"289",288,49,"female",2,"own","little","moderate",1092,12,"radio/TV",1
"290",289,48,"male",2,"own","little","little",1024,24,"radio/TV",2
"292",291,28,"male",3,"rent","little","moderate",9398,36,"car",2
"293",292,44,"female",3,"free","little","little",6419,24,"car",1
"294",293,56,"male",2,"free","little","rich",4796,42,"car",1
"296",295,26,"female",2,"own","little","moderate",9960,48,"furniture/equipment",2
"300",299,32,"male",2,"own","rich","moderate",2745,21,"furniture/equipment",1
"302",301,42,"female",2,"own","little","moderate",3804,36,"radio/TV",2
"304",303,49,"male",2,"own","little","little",1038,10,"car",1
"308",307,33,"male",1,"own","moderate","little",727,12,"radio/TV",2
"309",308,24,"female",2,"own","little","moderate",1237,8,"furniture/equipment",2
"310",309,22,"male",1,"rent","little","moderate",276,9,"car",1
"313",312,26,"female",2,"own","little","rich",3749,24,"furniture/equipment",1
"314",313,25,"male",1,"own","little","moderate",685,12,"car",2
"316",315,31,"male",2,"own","little","little",2746,36,"furniture/equipment",2
"317",316,38,"male",1,"own","little","little",708,12,"furniture/equipment",1
"320",319,27,"female",1,"own","little","little",3643,15,"furniture/equipment",1
"321",320,28,"male",3,"own","little","moderate",4249,30,"car",2
"322",321,32,"male",2,"own","little","little",1938,24,"radio/TV",2
"323",322,34,"male",3,"free","little","little",2910,24,"car",1
"324",323,28,"male",2,"own","rich","little",2659,18,"furniture/equipment",1
"326",325,39,"male",1,"own","little","little",3398,8,"car",1
"329",328,31,"male",2,"own","little","rich",4473,36,"radio/TV",1
"330",329,28,"male",2,"own","little","moderate",1068,6,"radio/TV",1
"331",330,75,"male",3,"free","little","little",6615,24,"car",1
"333",332,24,"female",3,"own","moderate","moderate",7408,60,"car",2
"335",334,23,"male",2,"rent","little","little",4110,24,"furniture/equipment",2
"336",335,44,"male",3,"rent","little","little",3384,6,"furniture/equipment",2
"337",336,23,"female",1,"own","little","moderate",2101,13,"radio/TV",1
"339",338,28,"male",2,"own","little","little",4169,24,"furniture/equipment",1
"340",339,31,"male",1,"own","little","moderate",1521,10,"furniture/equipment",1
"341",340,24,"female",2,"free","little","moderate",5743,24,"education",1
"342",341,26,"female",1,"rent","little","little",3599,21,"furniture/equipment",1
"343",342,25,"male",2,"rent","quite rich","moderate",3213,18,"radio/TV",1
"344",343,33,"male",3,"own","little","moderate",4439,18,"business",1
"345",344,37,"male",1,"own","little","rich",3949,10,"car",1
"347",346,23,"male",2,"own","little","moderate",882,13,"radio/TV",1
"348",347,23,"female",0,"rent","quite rich","moderate",3758,24,"radio/TV",1
"350",349,32,"male",2,"free","rich","moderate",1136,9,"education",2
"352",351,29,"female",2,"own","little","moderate",959,9,"furniture/equipment",2
"354",353,28,"male",2,"rent","little","little",6199,12,"radio/TV",2
"356",355,23,"male",1,"own","little","moderate",1246,24,"car",2
"360",359,23,"female",2,"rent","little","little",2406,30,"furniture/equipment",2
"363",362,36,"female",2,"own","little","rich",2247,12,"car",1
"365",364,25,"male",0,"own","little","little",2473,18,"furniture/equipment",2
"368",367,22,"female",2,"rent","little","little",3650,18,"furniture/equipment",1
"369",368,42,"male",2,"own","little","little",3446,36,"furniture/equipment",2
"370",369,40,"female",2,"rent","little","moderate",3001,18,"furniture/equipment",1
"375",374,60,"female",3,"free","moderate","moderate",14782,60,"vacation/others",2
"376",375,37,"female",2,"rent","little","little",7685,48,"business",2
"379",378,57,"male",3,"free","little","moderate",14318,36,"car",2
"382",381,38,"female",3,"free","little","moderate",12976,18,"car",2
"384",383,26,"male",2,"own","little","rich",1330,12,"car",1
"388",387,40,"male",3,"own","little","moderate",7374,18,"furniture/equipment",1
"389",388,27,"male",2,"own","quite rich","moderate",2326,15,"business",1
"392",391,19,"female",1,"rent","rich","moderate",983,12,"furniture/equipment",1
"393",392,39,"male",3,"free","little","little",3249,36,"car",1
"394",393,31,"female",2,"own","little","little",1957,6,"radio/TV",1
"396",395,32,"male",2,"rent","moderate","moderate",11760,39,"education",1
"397",396,55,"female",3,"free","little","little",2578,12,"furniture/equipment",1
"398",397,46,"male",2,"own","little","little",2348,36,"furniture/equipment",1
"399",398,46,"male",2,"rent","little","moderate",1223,12,"car",2
"406",405,22,"male",2,"own","little","moderate",2039,24,"radio/TV",2
"408",407,27,"male",2,"own","little","little",1053,15,"radio/TV",1
"410",409,28,"male",2,"own","quite rich","rich",939,12,"car",2
"411",410,20,"female",2,"own","little","moderate",1967,24,"radio/TV",1
"417",416,33,"male",1,"own","little","little",2579,12,"car",2
"423",422,47,"male",1,"own","little","moderate",958,12,"car",1
"426",425,21,"male",2,"rent","little","moderate",2779,18,"car",1
"430",429,55,"female",0,"free","little","little",1190,18,"repairs",2
"432",431,29,"male",3,"own","little","moderate",11328,24,"vacation/others",2
"433",432,36,"male",3,"free","little","little",1872,6,"furniture/equipment",1
"435",434,25,"male",2,"own","little","little",2136,9,"furniture/equipment",1
"439",438,65,"male",0,"own","little","little",3394,42,"repairs",1
"440",439,26,"female",0,"own","little","rich",609,12,"business",2
"442",441,30,"female",2,"own","little","little",1620,12,"furniture/equipment",1
"443",442,29,"male",2,"own","little","moderate",2629,20,"vacation/others",1
"445",444,30,"female",3,"own","little","moderate",5096,48,"furniture/equipment",2
"447",446,34,"female",2,"own","little","little",1842,36,"car",2
"448",447,35,"male",2,"own","little","moderate",2576,7,"radio/TV",1
"450",449,61,"male",2,"own","rich","moderate",1512,15,"repairs",2
"455",454,31,"male",2,"own","little","little",4817,24,"car",2
"457",456,36,"male",2,"rent","little","little",3905,11,"car",1
"458",457,35,"male",2,"free","little","little",3386,12,"car",2
"459",458,27,"female",2,"own","little","little",343,6,"domestic appliances",1
"461",460,37,"male",2,"own","little","little",3620,36,"furniture/equipment",1
"462",461,36,"male",2,"own","little","little",1721,15,"car",1
"463",462,34,"female",3,"rent","little","moderate",3017,12,"furniture/equipment",1
"466",465,63,"male",2,"own","little","little",2924,24,"car",1
"467",466,29,"female",1,"rent","little","little",1659,24,"radio/TV",2
"471",470,22,"male",2,"rent","moderate","moderate",3092,24,"radio/TV",2
"472",471,23,"female",2,"own","little","little",448,6,"education",2
"473",472,28,"male",1,"own","little","little",654,9,"car",2
"475",474,33,"male",2,"own","little","moderate",1245,18,"radio/TV",2
"476",475,26,"female",2,"rent","little","little",3114,18,"furniture/equipment",2
"478",477,25,"male",2,"own","little","rich",5152,24,"radio/TV",1
"479",478,39,"male",1,"own","moderate","moderate",1037,12,"business",1
"480",479,44,"male",2,"own","little","little",1478,15,"furniture/equipment",1
"481",480,23,"female",1,"own","little","moderate",3573,12,"radio/TV",1
"482",481,26,"male",2,"own","little","moderate",1201,24,"car",1
"483",482,57,"female",2,"rent","rich","little",3622,30,"furniture/equipment",1
"486",485,47,"male",3,"own","little","moderate",1209,6,"car",2
"492",491,42,"female",3,"free","little","moderate",8318,27,"business",2
"495",494,39,"male",1,"rent","little","little",2122,12,"car",1
"497",496,29,"male",3,"rent","moderate","moderate",9034,36,"furniture/equipment",2
"499",498,32,"male",1,"own","little","moderate",1301,18,"radio/TV",1
"500",499,28,"male",2,"own","moderate","rich",1323,6,"car",1
"501",500,27,"female",2,"own","little","little",3123,24,"car",2
"502",501,42,"male",2,"free","little","little",5493,36,"car",1
"503",502,49,"male",2,"own","moderate","rich",1126,9,"radio/TV",1
"504",503,38,"male",2,"own","moderate","moderate",1216,24,"radio/TV",2
"505",504,24,"female",2,"rent","little","little",1207,24,"car",2
"507",506,36,"male",2,"own","quite rich","rich",2360,15,"car",1
"508",507,34,"male",3,"own","moderate","moderate",6850,15,"car",2
"511",510,26,"male",2,"own","little","little",759,12,"car",2
"513",512,26,"male",2,"rent","little","rich",2687,15,"business",1
"514",513,20,"male",2,"rent","little","moderate",585,12,"radio/TV",1
"516",515,37,"female",2,"own","little","little",609,6,"car",1
"517",516,40,"male",1,"own","little","little",1361,6,"car",1
"519",518,43,"male",2,"own","moderate","little",1203,6,"car",1
"522",521,24,"female",2,"own","little","little",3190,18,"radio/TV",2
"523",522,53,"male",2,"free","little","little",7119,48,"furniture/equipment",2
"525",524,26,"female",1,"own","little","moderate",1113,18,"radio/TV",1
"526",525,30,"male",2,"own","little","moderate",7966,26,"car",1
"529",528,31,"male",2,"rent","little","little",2302,36,"radio/TV",2
"530",529,41,"male",1,"own","little","little",662,6,"car",1
"531",530,32,"male",2,"own","little","moderate",2273,36,"education",1
"532",531,28,"female",2,"rent","moderate","moderate",2631,15,"car",2
"536",535,33,"male",2,"rent","little","rich",2319,21,"education",2
"538",537,37,"female",2,"own","little","moderate",3612,18,"furniture/equipment",1
"539",538,42,"male",3,"free","little","little",7763,48,"car",2
"540",539,45,"female",1,"own","little","rich",3049,18,"furniture/equipment",1
"541",540,23,"male",2,"rent","little","moderate",1534,12,"radio/TV",2
"544",543,34,"male",1,"own","little","rich",2864,18,"furniture/equipment",2
"546",545,43,"male",2,"free","little","little",1333,24,"car",2
"549",548,24,"female",1,"own","little","little",626,12,"radio/TV",2
"553",552,34,"male",2,"own","little","little",6999,48,"radio/TV",2
"554",553,27,"male",2,"own","moderate","moderate",1995,12,"car",1
"555",554,67,"female",3,"own","little","moderate",1199,9,"education",1
"556",555,22,"male",2,"own","little","moderate",1331,12,"radio/TV",2
"557",556,28,"female",2,"own","moderate","moderate",2278,18,"car",2
"559",558,27,"male",2,"own","little","little",3552,24,"furniture/equipment",2
"560",559,31,"male",1,"own","little","moderate",1928,18,"furniture/equipment",2
"562",561,24,"male",1,"rent","little","little",1546,24,"radio/TV",2
"563",562,29,"female",2,"own","little","rich",683,6,"radio/TV",1
"566",565,23,"female",2,"rent","moderate","moderate",1553,24,"radio/TV",1
"567",566,36,"male",2,"own","little","little",1372,12,"car",2
"570",569,31,"female",2,"own","little","little",6758,48,"radio/TV",2
"571",570,23,"female",1,"rent","little","little",3234,24,"furniture/equipment",2
"574",573,22,"female",1,"own","little","little",806,15,"business",1
"575",574,27,"male",1,"own","little","moderate",1082,9,"radio/TV",1
"577",576,27,"female",2,"own","little","moderate",2930,12,"radio/TV",1
"579",578,27,"male",2,"own","little","moderate",2820,36,"car",2
"581",580,30,"male",2,"own","little","moderate",1056,18,"car",2
"582",581,49,"male",1,"own","little","moderate",3124,12,"car",1
"584",583,33,"male",1,"rent","little","moderate",2384,36,"repairs",2
"586",585,20,"female",2,"rent","little","little",2039,18,"furniture/equipment",2
"587",586,36,"male",2,"rent","little","little",2799,9,"car",1
"588",587,21,"male",1,"own","little","little",1289,12,"furniture/equipment",1
"589",588,47,"male",1,"own","little","little",1217,18,"domestic appliances",2
"590",589,60,"male",2,"own","little","little",2246,12,"furniture/equipment",2
"591",590,58,"female",1,"own","little","little",385,12,"radio/TV",1
"594",593,20,"female",1,"rent","little","moderate",2718,24,"car",2
"596",595,32,"female",1,"own","moderate","moderate",931,6,"car",2
"597",596,23,"female",2,"rent","little","little",1442,24,"car",2
"598",597,36,"male",1,"own","little","moderate",4241,24,"business",2
"601",600,45,"female",2,"own","little","moderate",2329,7,"radio/TV",1
"602",601,30,"female",2,"own","little","moderate",918,9,"furniture/equipment",2
"603",602,34,"female",1,"free","little","moderate",1837,24,"education",2
"605",604,23,"female",2,"own","little","rich",1275,10,"furniture/equipment",1
"606",605,22,"male",2,"own","quite rich","little",2828,24,"furniture/equipment",1
"608",607,50,"female",2,"free","moderate","moderate",2671,36,"radio/TV",2
"611",610,22,"female",2,"own","moderate","little",741,12,"domestic appliances",2
"612",611,48,"female",1,"free","moderate","rich",1240,10,"car",2
"613",612,29,"female",2,"own","rich","little",3357,21,"radio/TV",1
"614",613,22,"female",2,"rent","little","little",3632,24,"car",1
"618",617,37,"male",2,"rent","little","little",3676,6,"car",1
"619",618,21,"female",2,"rent","moderate","moderate",3441,30,"furniture/equipment",2
"621",620,27,"male",2,"own","little","moderate",3652,21,"business",1
"624",623,22,"female",2,"rent","little","little",1858,12,"furniture/equipment",1
"625",624,65,"male",2,"free","little","little",2600,18,"radio/TV",2
"627",626,41,"male",2,"own","little","rich",2116,6,"furniture/equipment",1
"628",627,29,"male",2,"own","moderate","moderate",1437,9,"car",2
"631",630,28,"female",2,"own","little","little",3660,24,"radio/TV",1
"632",631,44,"male",2,"own","little","little",1553,18,"furniture/equipment",2
"635",634,25,"female",1,"own","little","moderate",1355,24,"car",2
"640",639,26,"male",2,"own","little","little",4370,42,"radio/TV",2
"641",640,27,"female",0,"own","little","little",750,18,"education",2
"642",641,38,"male",1,"own","little","moderate",1308,15,"repairs",1
"645",644,32,"male",3,"own","little","little",1880,18,"radio/TV",1
"647",646,32,"male",2,"own","little","little",4583,30,"furniture/equipment",1
"649",648,38,"male",2,"free","little","rich",947,24,"car",2
"650",649,40,"male",1,"rent","little","little",684,12,"education",2
"651",650,50,"male",3,"free","little","little",7476,48,"education",1
"652",651,37,"male",1,"own","little","moderate",1922,12,"furniture/equipment",2
"653",652,45,"male",2,"own","little","little",2303,24,"car",2
"654",653,42,"male",3,"own","moderate","moderate",8086,36,"car",2
"656",655,22,"male",2,"free","little","little",3973,14,"car",1
"657",656,41,"male",1,"own","little","moderate",888,12,"car",2
"659",658,28,"female",2,"own","little","moderate",4221,30,"business",1
"660",659,41,"male",2,"own","little","moderate",6361,18,"furniture/equipment",1
"661",660,23,"male",2,"rent","little","rich",1297,12,"radio/TV",1
"664",663,35,"male",3,"own","little","moderate",1050,6,"furniture/equipment",1
"665",664,50,"female",1,"own","little","rich",1047,6,"education",1
"667",666,34,"male",2,"own","rich","moderate",3496,30,"furniture/equipment",1
"669",668,43,"male",2,"rent","little","little",4843,12,"car",2
"670",669,47,"male",2,"own","little","rich",3017,30,"radio/TV",1
"678",677,24,"male",2,"own","moderate","moderate",5595,72,"radio/TV",2
"679",678,64,"male",1,"rent","little","little",2384,24,"radio/TV",1
"685",684,31,"male",1,"own","moderate","moderate",9857,36,"business",1
"688",687,30,"male",2,"free","moderate","moderate",2862,36,"car",1
"690",689,31,"male",2,"own","rich","little",3651,12,"car",1
"691",690,25,"male",2,"own","little","little",975,15,"furniture/equipment",1
"692",691,25,"female",1,"own","moderate","moderate",2631,15,"repairs",1
"693",692,29,"male",2,"own","moderate","moderate",2896,24,"radio/TV",1
"697",696,29,"male",2,"own","little","moderate",1103,12,"radio/TV",1
"700",699,40,"male",3,"rent","little","rich",1905,15,"education",1
"702",701,46,"male",2,"free","little","little",6331,48,"car",2
"703",702,47,"female",2,"free","moderate","rich",1377,24,"radio/TV",1
"704",703,41,"male",2,"own","moderate","moderate",2503,30,"business",1
"705",704,32,"female",2,"own","little","moderate",2528,27,"business",1
"707",706,24,"male",2,"own","moderate","moderate",6560,48,"car",2
"708",707,25,"female",2,"rent","little","moderate",2969,12,"furniture/equipment",2
"709",708,25,"female",2,"own","little","moderate",1206,9,"radio/TV",1
"710",709,37,"male",1,"own","little","moderate",2118,9,"radio/TV",1
"712",711,35,"female",2,"free","little","little",1198,6,"education",2
"714",713,25,"male",1,"own","little","little",1138,9,"radio/TV",1
"715",714,27,"male",3,"own","little","moderate",14027,60,"car",2
"720",719,31,"male",2,"own","moderate","moderate",6148,20,"car",1
"721",720,34,"male",3,"own","little","rich",1337,9,"radio/TV",2
"722",721,24,"female",2,"rent","rich","moderate",433,6,"education",2
"723",722,24,"female",1,"own","little","little",1228,12,"car",2
"724",723,66,"female",1,"own","quite rich","moderate",790,9,"radio/TV",1
"728",727,25,"female",2,"rent","little","little",1882,18,"radio/TV",2
"729",728,59,"female",2,"rent","little","moderate",6416,48,"business",2
"730",729,36,"male",2,"own","rich","rich",1275,24,"business",1
"731",730,33,"male",2,"own","little","moderate",6403,24,"radio/TV",1
"732",731,21,"male",1,"rent","little","little",1987,24,"radio/TV",2
"733",732,44,"female",1,"own","little","moderate",760,8,"radio/TV",1
"737",736,23,"female",3,"rent","little","moderate",11560,24,"car",2
"738",737,35,"male",1,"own","moderate","little",4380,18,"car",1
"740",739,26,"female",1,"rent","moderate","moderate",4280,30,"business",2
"741",740,32,"male",2,"own","moderate","little",2325,24,"car",1
"742",741,23,"male",1,"own","little","moderate",1048,10,"radio/TV",1
"744",743,22,"male",2,"own","quite rich","little",2483,24,"furniture/equipment",1
"746",745,28,"male",1,"own","little","little",1797,13,"business",1
"747",746,23,"female",2,"rent","little","little",2511,15,"car",1
"748",747,37,"female",1,"own","little","little",1274,12,"car",2
"751",750,49,"female",2,"own","little","little",428,6,"furniture/equipment",1
"752",751,23,"female",1,"own","little","little",976,18,"car",2
"753",752,23,"female",1,"rent","moderate","moderate",841,12,"business",1
"757",756,74,"male",0,"own","little","rich",1299,6,"car",1
"760",759,35,"male",2,"own","little","little",691,12,"car",2
"762",761,24,"female",2,"rent","little","little",2124,18,"furniture/equipment",2
"763",762,24,"male",1,"own","little","little",2214,12,"radio/TV",1
"766",765,40,"male",1,"own","little","moderate",1155,12,"radio/TV",1
"767",766,31,"male",1,"own","little","little",3108,30,"furniture/equipment",2
"769",768,28,"male",2,"rent","little","moderate",3617,12,"furniture/equipment",1
"772",771,25,"female",3,"own","little","little",8065,36,"education",2
"775",774,66,"male",0,"free","quite rich","rich",1480,12,"car",1
"778",777,25,"female",2,"own","little","little",3509,18,"radio/TV",1
"780",779,67,"female",2,"own","little","moderate",3872,18,"repairs",1
"781",780,25,"male",2,"own","little","moderate",4933,39,"radio/TV",2
"783",782,31,"male",1,"own","little","moderate",1410,12,"education",1
"784",783,23,"female",1,"own","moderate","moderate",836,12,"car",2
"786",785,35,"male",1,"own","rich","moderate",1941,18,"business",1
"789",788,50,"male",2,"free","little","moderate",6224,48,"education",2
"790",789,27,"male",2,"own","little","little",5998,40,"education",2
"791",790,39,"female",2,"own","little","moderate",1188,21,"business",2
"794",793,51,"male",2,"free","little","rich",2892,24,"furniture/equipment",1
